bin_centers_min,f_min,bin_centers_max,f_max
0.217209,0.0,0.217209,0.0
0.6516270000000001,6.920563876781124,0.6516270000000001,0.9813883569899984
1.086045,11.43867746374611,1.086045,3.5338477832726074
1.5204630000000001,16.149421644171937,1.5204630000000001,5.157949235363768
1.9548809999999999,18.687439898932496,1.9548809999999999,5.324516858717823
2.389299,20.21185919743707,2.389299,5.667031607694263
2.823717,21.533076545615174,2.823717,6.498715009283294
3.2581350000000002,22.7648731584884,3.2581350000000002,7.263683284705428
3.692553,24.652409373667197,3.692553,7.666440995311947
4.126971,25.587436729222347,4.126971,7.295001679803258
4.561388999999999,27.145571060020263,4.561388999999999,7.20535132452468
4.995807,28.681908068270175,4.995807,7.92759602664705
5.430225,29.269836461750007,5.430225,8.606688035448983
5.864643,29.00349486374718,5.864643,8.48228856296162
6.299061,30.179757478489492,6.299061,8.134915581275106
6.733479,29.88614058140735,6.733479,7.949628463964574
7.167897000000001,30.95972436319775,7.167897000000001,7.5372923879237295
7.602315000000001,30.60705274730298,7.602315000000001,7.3996459426377115
8.036733,30.552272862876443,8.036733,7.152792199594106
8.471151,30.48769077537832,8.471151,7.0339176528827645
8.905569,30.501447035618135,8.905569,7.310903665044846
9.339987,30.346242994543154,9.339987,7.058290673156376
9.774405000000002,30.26356642906583,9.774405000000002,7.002555750488562
10.208823,29.928035814661083,10.208823,6.706612061087267
10.643241000000002,29.651700137265728,10.643241000000002,6.593989919511609
11.077659,30.061089100387434,11.077659,6.794886582988121
11.512077,30.016259689047807,11.512077,6.266412133458793
11.946495,29.752042450879124,11.946495,6.21673045885027
12.380913000000001,29.600624337293937,12.380913000000001,6.339814476585752
12.815331000000002,29.443111802240388,12.815331000000002,5.964720007515897
13.249749000000001,29.305210011862467,13.249749000000001,5.864059128184685
13.684167,29.312381661205286,13.684167,5.773450697612907
14.118585,28.923996214638727,14.118585,5.704808154267341
14.553003,28.6602438115327,14.553003,5.686434753090891
14.987421,28.4635799121707,14.987421,5.715519295386869
15.421839,27.94786152021289,15.421839,5.600474870031345
15.856257,27.948622496031717,15.856257,5.167389882767402
16.290675,28.210812549712227,16.290675,5.30599235783937
16.725092999999998,28.18555669726644,16.725092999999998,4.990552158760306
17.159511,28.350811774177565,17.159511,5.345083584217801
17.593929,28.268612927822844,17.593929,5.0179611555627455
18.028347,28.229789591796695,18.028347,4.855264675045567
18.462765,27.914040234249573,18.462765,4.55084675733233
18.897183,27.63871174277633,18.897183,4.7606179357483365
19.331601,27.85731567801606,19.331601,4.657878032767603
19.766019,27.883439854617688,19.766019,4.836976741623595
20.200437,27.753193270921855,20.200437,4.875553738310734
20.634854999999998,27.676028509858916,20.634854999999998,4.746202158848128
21.069273,27.696886044076383,21.069273,4.740702500616825
21.503691,27.53427433315654,21.503691,4.8100103023497445
21.938109,27.784917258649592,21.938109,4.3447098290016015
22.372527,27.511897358627223,22.372527,4.200413336566943
22.806945,27.543607445946023,22.806945,4.2080021025468595
23.241363,27.518618537619123,23.241363,3.9688963915205777
23.675780999999997,27.41455594106703,23.675780999999997,3.8715549597615677
24.110199,27.148144929594295,24.110199,3.548765621718979
24.544617000000002,27.113200055298062,24.544617000000002,3.2950748650924337
24.979035,26.86377022507614,24.979035,3.3672044666030274
25.413453,26.97890537568731,25.413453,3.4694925842576083
25.847870999999998,26.889817099050486,25.847870999999998,3.6311253312775866
26.282289,27.025229616599027,26.282289,3.5692624978314864
26.716707,27.096678197862936,26.716707,3.353101174876749
27.151125,26.915564281472015,27.151125,3.5957516673543974
27.585543000000005,26.940987280123508,27.585543000000005,3.4059170271696875
28.019961000000002,26.8356773706436,28.019961000000002,3.1054953015627067
28.454379,26.959279133448,28.454379,3.034694828024903
28.888797000000004,27.027678646509095,28.888797000000004,3.2885428714242124
29.323215000000005,26.977718146241635,29.323215000000005,3.150993461918037
29.757633000000002,26.65455709760249,29.757633000000002,3.237364566854298
30.192051,26.72950296378503,30.192051,3.279135437522654
30.626469000000004,26.40286053352713,30.626469000000004,3.3494729665049316
31.060887000000005,26.437001581716352,31.060887000000005,2.9613817489248833
31.495305000000002,26.495899748374608,31.495305000000002,2.9428758519877487
31.929723000000006,26.16606688994165,31.929723000000006,2.9294535535392408
32.364141000000004,26.0895683829422,32.364141000000004,3.181815441975391
32.798559000000004,26.07094569775203,32.798559000000004,3.071272275164385
33.232977,26.036849860978517,33.232977,2.770290355928414
33.667395000000006,25.90247350216199,33.667395000000006,2.5859559601818507
34.101813,25.894111726823652,34.101813,2.7196337551472896
34.536231,25.92608650975248,34.536231,2.636510258382887
34.970649,25.728742256151506,34.970649,2.4657015958279658
35.405067,25.55773952812801,35.405067,2.656260029902988
35.839485,25.647846444143365,35.839485,2.576988046592141
36.273903000000004,25.806658594207008,36.273903000000004,2.617131554683402
36.708321000000005,25.758243325804006,36.708321000000005,2.4963288903329452
37.142739000000006,25.702145731126272,37.142739000000006,2.3589774174069396
37.577157,25.68155274315314,37.577157,2.530746543530758
38.011575,25.679475947531852,38.011575,2.296459892425533
38.445993,25.631032269101645,38.445993,2.656982847280295
38.880411,25.107203645502224,38.880411,2.426152259088883
39.314829,24.974459298320493,39.314829,2.3707110497589117
39.749247000000004,25.37746057099878,39.749247000000004,2.129626416748038
40.183665000000005,25.225192080474976,40.183665000000005,2.991543033528756
40.618083,25.51623826673008,40.618083,1.9426111208379835
41.052501,25.474142213747484,41.052501,1.9534685016209012
41.48691900000001,25.166382438173628,41.48691900000001,1.6895085626636925
41.921337,24.559459645552714,41.921337,1.4782095841951257
42.355755,24.829445185156644,42.355755,1.5984842226264462
42.790173,25.08897060176228,42.790173,1.573038647567362
43.224591000000004,25.163482573647002,43.224591000000004,1.739858307688893
